"awardID","pec","program","track","division","directorate","awardInstrument","startDate","lastAmendmentDate","endDate","awardedAmountToDate","PI","coPI","organization","organizationStreet","organizationCity","organizationState","organizationZip","title","abstract","objectid","schoolIdentificationNumber","organization.y","reportedStreetAddress","reportedCity","reportedState","stateFips","countyFips","countyName","localeCode","lat","long","coreBasedStatisticalArea","coreBasedStatisticalAreaName","metropolitanOrMicropolitanStatisticalAreaIndicator","combinedStatisticalArea","combinedStatisticalAreaName","congressionalDistrict","stateLegislativeDistrictLower","stateLegislativeDistrictUpper","schoolYear","x","y","EPSCoR"
2301858,"069Y00","AccelNet","Design","CNS","CSE","Standard Grant","05/15/2023","05/23/2023","04/30/2025",249021,"Qi Li","Arnab Ghosh, John Albertson","Cornell University","341 PINE TREE RD","ITHACA","NY",14850,"AccelNet-Design: A Global Network of Networks of Integrated Urban Services GNNIUS for Healthy and Smart Cities","Urbanization alters the forms and functions of a city, which can affect the atmosphere and hydrosphere locally and regionally, resulting in a city's unique urban climate. These changes can also interact with extreme weather and climate events, having a significant impact on the health and operation of multi-sectoral urban systems. With the advancement of smart sensor systems and computational power, researchers have been able to generate state variables for urban climates and systems research, which have demonstrated success in decision support for urban meteorological hazards. Despite this progress, there is still a lack of an urban analytics platform that provides coherent and standardized databases for urban climates and systems at appropriate spatiotemporal scales. This lack of an urban analytics platform impedes the generalization of urban climate research results across global cities and hinders the application of research outcomes to multi-sectoral urban systems. To address these challenges, this project aims to establish a global network of networks of integrated urban services (GNNIUS), bringing together scientific expertise and unique facilities and resources from different countries to address knowledge gaps in urban climate and systems research. GNNIUS will improve the inclusiveness and diversity of the next-generation researchers and will help advance fundamental science in urban climates and solve pressing societal problems with global and multi-disciplinary joint efforts. <br/><br/>Through a series of guided discussions and a workshop, the international coordination of urban climates and systems researchers and stakeholders will establish guidelines for initiating an urban analytics platform and protocols for applying it to better deliver integrated urban services across global cities. This network of networks will initiate a general urban analytics platform currently missing in the urban research community that is needed to advance understanding of multi-scale processes, harness the new paradigm of sensors and models to address the most consequential knowledge gaps, and consider co-benefits/tradeoffs in multi-sectoral systems for decision-making support. GNNIUS will create (1) trans-disciplinary dialogues between domain experts (i.e., urban climates and systems) and technical experts (i.e., sensor networks, sensing and control, uncertainty quantification, and big-data science). (2) synergies among complementary observation, modeling and data analytics in distinct global cities. (3) a consensus to holistically evaluate strategies to achieve the desired objectives, such as urban climate mitigation and adaption strategies.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"notEPSCoR"
2114721,"069Y00","AccelNet","Implementation","OISE","O/D","Standard Grant","01/01/2022","07/19/2023","12/31/2026",2107865,"Maura McLaughlin","Michael Lam, Adam Brazier, Xavier Siemens, Joseph Swiggum","West Virginia University Research Corporation","886 CHESTNUT RIDGE ROAD","MORGANTOWN","WV",26505,"AccelNet-Implementation: The International Pulsar Timing Array","Gravitational waves are ripples in spacetime, predicted to exist by Einstein's theory of general relativity. They are emitted by accelerating, massive objects and travel at the speed of light, unimpeded by matter such as galaxies, stars, and gas. Gravitational waves from the merger of two black holes were detected by the LIGO collaboration in 2015, allowing astronomers to ""see"" previously invisible objects and probe the most energetic processes in the universe. The International Pulsar Timing Array (IPTA) is a world-wide network of researchers and students working to directly detect gravitational at frequencies 11 orders of magnitude smaller than LIGO through observations of precise celestial clocks called radio pulsars using the world's largest radio telescopes. This AccelNet-Implementation project will broaden the reach of the IPTA beyond researchers and students from North America, Europe, and Australia to include China, India, and South Africa. In addition to enhancing observations of pulsars distributed across the sky, the expanded IPTA network will provide sophisticated cyber-infrastructure and training for students and postdoctoral researchers in astrophysics, radio instrumentation, signal processing, and data science. <br/><br/>The IPTA expects to detect gravitational waves from supermassive binary black holes at the cores of merging galaxies. These detections will provide new insights into galaxy growth and evolution through cosmic time, transforming our understanding of the Universe. By the end of the award period, the IPTA will detect and characterize the stochastic background of gravitational waves produced by all the supermassive binary black holes in the Universe. It is also likely to detect the first individual supermassive black hole binary that stands out above the background. This international coordination of research will also result in very high impact synergistic science such as neutron star mass measurements, characterization of the interstellar medium, tests of general relativity, and the discovery of exotic pulsar systems and radio transients such as Fast Radio Bursts.  Coordination will be facilitated through annual workshops, meetings, and shared data and analysis portal.  Students and postdoctoral researchers in the IPTA will be involved in an international mentoring network and will learn valuable outreach skills, while at the same time bringing the excitement of this work to K-12 students worldwide.<br/><br/>The Accelerating Research through International Network-to-Network Collaborations (AccelNet) program is designed to accelerate the process of scientific discovery and prepare the next generation of U.S. researchers for multiteam international collaborations. The AccelNet program supports strategic linkages among U.S. research networks and complementary networks abroad that will leverage research and educational resources to tackle grand scientific challenges that require significant coordinated international efforts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",3911,237996,"West Virginia Junior College-Morgantown","148 Willey St","Morgantown","WV","54","54061","Monongalia County","13",39.63248,-79.955006,"34060","Morgantown, WV",1,"390","Morgantown-Fairmont, WV","5401","54051","54013","2022-2023",-79.9550059999269,39.6324799996523,"EPSCoR"
2201516,"069Y00","AccelNet","Implementation","OISE","O/D","Standard Grant","07/01/2022","06/27/2022","06/30/2026",2e+06,"Rajiv Singh","Piers Coleman, Laura Greene, Vidya Madhavan, Johnpierre Paglione","University of California-Davis","1850 RESEARCH PARK DR STE 300","DAVIS","CA",95618,"Accel-Net Implementation: Accel-Net Implementation for Quantum Materials","Research in quantum mechanics - the physics of matter at the atomic scale ? fosters the discovery of new materials with extraordinary properties.  The new classes of ""quantum materials"" have functionalities of great interest to society. They fuel the next generation of quantum technologies. New high-temperature superconductors are used for the energy transmission and the development of ultra-powerful magnets. New metal and semiconductors allow for new kinds of electronics, sustainable energy storage, and the next generation of computers.  The discovery of these materials requires a new phase of exploration of the periodic table of elements. This is a challenging task because the parameter space of materials with complex chemistry is vast; and materials with the desired properties lie hidden in far corners of this space.  This project brings together ten networks of experimental, computational, and theoretical scientists from across the globe. The researchers combine their expertise and knowledge to address this challenge. Working together, they can explore a much larger parameter space. By sharing knowhow while avoiding duplication, they accelerate the quest for new quantum materials. This Project also promotes the training of a new generation of scientists with broader, practical materials-discovery oriented research.<br/><br/>The AccelNet teams bring together quantum-material communities from across the globe to synergistically work on new families of materials. They seek to explore, along new tracts of the periodic table, the deep links between materials phenomena, quantum entanglement, topology, and emergence. This AccelNet network of networks includes complimentary networks from the USA, Canada, the UK, Japan, and the European Union. Advances in the science of quantum materials are driven by progress in synthesis and characterization techniques and the discovery of new families of superconductors, insulators, strange metals, and quantum criticality. Yet, the field is hindered by a lack of coordination, which results in a tendency to cluster around the same subset of materials. This project is organized along three parallel tracks: (i) a synthesis track, (ii) a spectroscopy track, and (iii) an extreme conditions track. International collaborative teams work on synthesizing new quantum materials.  They study them by a variety of spectroscopic tools. They subject them to extreme conditions such as high pressures or magnetic fields. This new level of cooperation accelerates discoveries in the field and leads to a materials database of successes and failures, a roadmap for future research. This project is funded by the Office of International Science and Engineering (OISE).<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"notEPSCoR"
2301732,"069Y00","AccelNet","Implementation","OISE","O/D","Standard Grant","06/01/2023","05/23/2023","05/31/2027",1999834,"Emily Brodsky","Jerry Carter","University of California-Santa Cruz","1156 HIGH ST","SANTA CRUZ","CA",95064,"AccelNet-Implementation: SZNet - A Coordinated Global Effort to Understand Subduction Geohazards","Our limited understanding of the fundamental drivers behind earthquakes, tsunamis, volcanic eruptions, and landslides hinders our ability to anticipate these globally significant hazards. Subduction zones provide the opportunity to systematically investigate multiple hazards simultaneously in locations that generate some of the largest risk from geological events. In addition, the geometry of subduction zones permits unusually well-controlled natural experiments that can be used to isolate and study key factors driving geohazards. The study of subduction zones is intrinsically an international enterprise because:  (1) Comparison across regions allows for insights about the controlling factors of the tectonic, volcanic and landscape systems. (2) Large geohazards are inherently rare events that require a portfolio approach globally to guarantee the correct observations are made systematically.  Significant investments in subduction zone geohazards are now being made internationally. Active networks in Latin America, Europe, North America, Oceania and Asia are currently pursuing complementary science agendas and building large-scale deployments. Coordination between activities is needed to ensure that the maximum science is obtained from these efforts. SZNet would combine 14 networks across 5 continents with a particular emphasis on improving observations in Chile, which hosts one of the world?s most geologically active and accessible subduction zones. Multiple projects on and offshore are working to establish the large-scale data collection and research effort required to study this exemplary system and coordination is needed to optimize the scientific output both here and globally. <br/>   <br/>The goal of SZNet is to develop an intellectual community with  three missions:<br/>1. to compare observations of subduction zones around the globe with a common dataset and understanding,<br/>2. to cooperate to consistently instrument critical subduction zones that can provide key and transferrable insights, and<br/>3. to develop and nurture an international and diverse cadre of early career scientists that is equipped to make the necessary breakthroughs.<br/>These missions will be supported through a combination of workshops, webinars, data exchanges, field schools, pilot projects and student exchanges. We anticipate that these activities will allow a portfolio approach to observations to enable geographical coverage that will both create the necessary baseline data and maximize the chances of capturing earthquakes, volcanic eruptions and landslides. In addition, the exchange of ideas will benefit partner networks while stimulating coordinated deployment and research strategies. Understanding geohazards has direct societal significance for the inhabitants of the Pacific Rim and other subduction zones around the world. The lack of understanding of the fundamental controls on when and where impactful earthquakes, eruptions and landslides can happen is a major impediment to focussing resources and mitigation efforts. Developing this understanding through an international network would connect the disparate experiences and expertise of experts in each subduction zone to provide a unified framework through missions 1 and 2. Mission 3 would broaden the geoscience community by supporting  international early career scientists with a program of field schools, pilot projects and student exchanges.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"notEPSCoR"
2201335,"069Y00","AccelNet","Design","OISE","O/D","Standard Grant","07/01/2022","08/19/2022","06/30/2024",249961,"Anita Thompson","Rabi Mohtar, Debasmita Misra, Tala Awada, Prem Parajuli, Arthur Nash","University of Wisconsin-Madison","21 N PARK ST STE 6301","MADISON","WI",53715,"AccelNet-Design: Soil and land management for food & water security, adaptation and mitigation of climate change","Management of agricultural land and soil (ALS) systems are often disconnected from societal goals of food security and environmental sustainability. The ALS network facilitates cooperation among scientific disciplines, policy makers, Federal and State Agencies, agricultural producers, private industry, NGO?s, society members and land managers to develop resilient, sustainable practices of ALS in the context of both socioeconomic and biophysical interactions. This network would improve ALS management by considering changes to ALS management in a holistic way that considers equity, access to data, and information synthesis. This approach empowers diverse producers and land managers/stewards to adopt outcome-based (e.g., improved soil health, water quality and carbon sequestration) management. This team promotes research at the nexus of soil, water, land, and climate systems to increase sustainability of the management of agricultural land and soil. <br/><br/>The ALS network (ALSNet): 1) develops coordination and communication mechanisms, 2) establishes team science processes and culture across multiple professional disciplines and groups to convert knowledge into action, 3) identifies and prioritizes knowledge gaps and opportunities, and 4) trains the next generation of a diverse and global workforce to develop solutions for the complex challenges of ALS systems. The project employs a team science approach that engages diverse partners to enhance interdisciplinarity, conducts ideation workshops, collaborates around shared vision, and develops research questions and synthesis papers. ALSNet supports broader strategic collaboration among U.S. research networks, global networks, professional societies, and social networks to integrate data, knowledge, and information on theoretical and applied research.  It uses a global perspective to narrow the gaps of scaling complexities, to understand tradeoffs, and to empower stakeholders to address the grand challenges associated with ALS. The team integrates biophysical, social, economic, and behavioral sciences that enhances the knowledge to action plan. The project will cross institutional boundaries and engage diverse stakeholders including consumers and industry partners, in both developed and developing nations, in the scientific discovery and implementation processes to build a plan for putting knowledge into action. This project is funded by the Office of International Science and Engineering (OISE).<br/><br/>The Accelerating Research through International Network-to-Network Collaborations (AccelNet) program is designed to accelerate the process of scientific discovery and prepare the next generation of U.S. researchers for multiteam international collaborations. The AccelNet program supports strategic linkages among U.S. research networks and complementary networks abroad that will leverage research and educational resources to tackle grand scientific challenges that require significant coordinated international efforts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"notEPSCoR"
2020673,"069Y00","AccelNet","Design","OISE","O/D","Standard Grant","01/01/2021","03/15/2021","12/31/2025",498092,"Randall Martin","Pratim Biswas","Washington University","ONE BROOKINGS DR","SAINT LOUIS","MO",63110,"AccelNet: Clean Air Monitoring and Solutions Network CAMS Net","Air pollution is causing a global public health crisis, responsible for around 4.9 million premature deaths worldwide each year. Air pollution-related disease and death increasingly occur in places least equipped with the technical capacity, planning, and resources to address them. The Clean Air Monitoring and Solutions Network (CAMS-Net) establishes an international network of networks that unites scientists, decision-makers, city administrators, citizen groups, the private sector, and other local stakeholders in co-developing new methods and practices for real-time air quality data collection, data sharing, and solutions for air quality improvements. CAMS-Net brings together at least 32 multidisciplinary member networks from North America, Europe, Africa, and India. This AccelNet project establishes a mechanism for international collaboration, builds technical capacity, shares knowledge, and trains the next generation of air quality practitioners and advocates, including graduate students and postdoctoral researchers. A crucial component and key service to society of the network of networks is the provision of publicly available, open-access and high-quality air pollution data, which is timely because air quality is poised to degrade further in many highly populated places as climate changes and as economies grow.<br/><br/>CAMS-Net will accelerate effective solutions for clean air by promoting novel research into a promising but largely untapped resource for cost-effective air quality monitoring. A traditional approach for improving air quality in cities is the development and implementation of a management plan, which is typically anchored by a network of high-quality, research-grade measurement devices collecting real-time data coupled with the technical expertise to analyze and make decisions based on that data. So-called low-cost sensors (LCS) have the potential to revolutionize clean air solutions and spur regulatory action, especially in lower- and middle-income countries.  LCS are being deployed all over the world.  Yet no global consortium exists to help standardize best practices, share deployment strategies, ensure quality control, and calibrate sensors towards research-grade quality. CAMS-Net seeks to maximize the value to science and society of the current proliferation of unknown quality data acquired by LCS  through capacity building, knowledge exchange, and acceleration of novel research. CAMS-Net research directions also include applying LCS networks to evaluate air quality models, refining satellite-derived air quality products, informing the implementation of air quality standards, and estimating fine-scale pollutant exposure for health impact analyses. Students and postdoctoral researchers will participate in scholar exchanges and take on leadership roles within CAMS-Net, preparing them for careers in global air quality.  CAMS-Net will create a strong, sustained global network of networks focused on closing the air pollution data and knowledge gaps.<br/><br/>The Accelerating Research through International Network-to-Network Collaborations (AccelNet) program is designed to accelerate the process of scientific discovery and prepare the next generation of U.S. researchers for multiteam international collaborations.  The AccelNet program supports strategic linkages among U.S. research networks and complementary networks abroad that will leverage research and educational resources to tackle grand scientific challenges that require significant coordinated international efforts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",2014,177719,"Barnes-Jewish College Goldfarb School of Nursing","4483 Duncan Avenue, Mailstop 90-36-697","Saint Louis","MO","29","29510","St. Louis city","11",38.637165,-90.258772,"41180","St. Louis, MO-IL",1,"476","St. Louis-St. Charles-Farmington, MO-IL","2901","29077","29005","2022-2023",-90.2587720001277,38.6371650000647,"notEPSCoR"
1927553,"069Y00","AccelNet","Implementation","OISE","O/D","Standard Grant","10/01/2019","09/20/2019","09/30/2024",1627077,"Benjamin Jones","Anne Jensen, Christopher Maio, Louise Farquharson","University of Alaska Fairbanks Campus","2145 N TANANA LOOP","FAIRBANKS","AK",99775,"AccelNet: Permafrost Coastal Systems Network PerCS-Net -- A Circumpolar Alliance for Arctic Coastal Community Information Exchange","1927553 (Jones) 1927137 (Xiao) 1927373 (Tweedie)  Permafrost coastal systems are one of the most rapidly changing components of the Earth's systems. The Permafrost Coastal Systems Network (PerCS-Net) project will fill fundamental knowledge gaps in science, engineering, and societal issues associated with permafrost-affected coasts in the Arctic by linking over ten existing national and international networks. PerCS-Net will position our nation alongside international collaborators to empower new research communities, diversify Arctic researchers, engage in the co-production of knowledge, and promote long-lasting team science required to face the known and emerging challenges of the changing Arctic. This network of networks will develop internationally recognized protocols for quantifying and synthesizing information on the impacts occurring in coastal permafrost systems. It will also provide a framework to assess risks to local and global economies and to transfer knowledge that will lead to adaptation strategies across Arctic regions. PerCS-Net will promote synergy across networks to foster the next generation of students, postdoctoral scholars, and early-career researchers charged with identifying potential solutions to changes occurring in the Arctic system. <br/><br/>There is no place more representative of the challenges faced at the intersection of natural, social, and built systems than the Arctic. PerCS-Net will develop a transdisciplinary umbrella network to synergize existing datasets, expand observations in space and time, integrate in-situ sensing techniques, coordinate goals among networks, and engage in synthesis efforts. The new knowledge will inform intergovernmental agencies as well as international research and outreach programs to make science-based decisions and policies in adapting to permafrost coastal system dynamics. Network activities include annual in-person meetings at national and international venues, monthly webinar meetings, outreach in Arctic coastal communities, synthesis publications, and student and early-career researcher personnel exchanges. Expected outcomes of PerCS-Net will integrate into a framework for transformative knowledge sharing from individuals and organizations cooperating across political, cultural, and disciplinary borders to address critical science, engineering, and social issues in response to permafrost coastal systems in the changing Arctic. <br/><br/>The Accelerating Research through International Network-to-Network Collaborations (AccelNet) program is designed to accelerate the process of scientific discovery and prepare the next generation of U.S. researchers for multiteam international collaborations.  The AccelNet program supports strategic linkages among U.S. research networks and complementary networks abroad that will leverage research and educational resources to tackle grand scientific challenges that require significant coordinated international efforts. This project was co-funded by the Arctic System Science Program in the Office of Polar Programs.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",64,102614,"University of Alaska Fairbanks","1731 South Chandalar Drive","Fairbanks","AK","02","02090","Fairbanks North Star Borough","23",64.85756,-147.823146,"21820","Fairbanks, AK",1,"N","N","0200","02005","0200C","2022-2023",-147.823146000288,64.8575599996943,"EPSCoR"
2020184,"069Y00","AccelNet","Design","OISE","O/D","Standard Grant","10/01/2020","02/22/2024","09/30/2025",138863,"Christopher Ober","","Cornell University","341 PINE TREE RD","ITHACA","NY",14850,"AccelNet: Global Quantum Leap","Quantum computing and communication technologies have the potential to change society in profound ways by enabling solutions to computational problems inaccessible using conventional paradigms. However, the technical challenges are daunting. Global Quantum Leap (GQL) establishes an international network of networks on the shared vision that the quantum revolution will require fundamental changes in nano-manufacturing infrastructure, and that developing this infrastructure will require worldwide collaboration and coordination. GQL will link nano-manufacturing and quantum networks to advance the scientific knowledge required to realize manufacturable quantum technologies. This AccelNet project will create strategic alliances between the National Nano Coordinated Infrastructure (NNCI) and international networks working on quantum information sciences. Initial partner networks include Nanoplatform Japan, Matter and Light for Quantum Computing (ML4Q, a Cluster of Excellence supported by the German Research Foundation), European OpenSuperQ, and the Chicago Quantum Exchange. By linking these networks, GQL will lay the foundation to develop a globally-aware workforce that can shape future innovations in quantum technology and will fundamentally influence the overall trajectory for quantum manufacturing development. It will also prepare a new generation of technical leaders to take on highly complex projects requiring international coordination. Such outreach will ensure that GQL has extensive societal impact, by exposing the widest range of communities to the capabilities and potential of quantum technology. <br/> <br/>The GQL network partnerships will bridge fundamental knowledge gaps between the nanomanufacturing and quantum information communities, including fundamental process, materials, and integration challenges. GQL will engage with domestic and international partners toward three main goals: (1) to create linkages between the nanofabrication and quantum information science communities on a global scale, (2) to facilitate the creation of a technology roadmap for emerging quantum computing systems, and (3) to equip students, postdoctoral scholars, and early-career researchers with skills to collaborate with international, interdisciplinary teams that will tackle challenges related to quantum computing systems. A series of meetings, workshops, structured and individual research exchanges, educational bootcamps, and industry interactions will be designed to bridge the existing knowledge gaps. Students, postdoctoral scholars, and faculty will also develop increased communication and teamwork skills and learn effective strategies for intercultural interactions on large-scale technical projects. The knowledge advances of quantum manufacturing issues will have broad applications. The learning developed in GQL will be transferred to the NNCI network in the form of new equipment and processes that can be utilized by the academic and industrial quantum community. <br/><br/>The Accelerating Research through International Network-to-Network Collaborations (AccelNet) program is designed to accelerate the process of scientific discovery and prepare the next generation of U.S. researchers for multiteam international collaborations. The AccelNet program supports strategic linkages among U.S. research networks and complementary networks abroad that will leverage research and educational resources to tackle grand scientific challenges that require significant coordinated international efforts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"notEPSCoR"
1927373,"069Y00","AccelNet","Design","OISE","O/D","Standard Grant","10/01/2019","09/20/2019","09/30/2024",92595,"Craig Tweedie","","University of Texas at El Paso","500 W UNIVERSITY AVE","EL PASO","TX",79968,"AccelNet: Permafrost Coastal Systems Network PerCS-Net - a circumpolar alliance for arctic coastal community information exchange","1927553 (Jones) 1927137 (Xiao) 1927373 (Tweedie)  Permafrost coastal systems are one of the most rapidly changing components of the Earth's systems. The Permafrost Coastal Systems Network (PerCS-Net) project will fill fundamental knowledge gaps in science, engineering, and societal issues associated with permafrost-affected coasts in the Arctic by linking over ten existing national and international networks. PerCS-Net will position our nation alongside international collaborators to empower new research communities, diversify Arctic researchers, engage in the co-production of knowledge, and promote long-lasting team science required to face the known and emerging challenges of the changing Arctic. This network of networks will develop internationally recognized protocols for quantifying and synthesizing information on the impacts occurring in coastal permafrost systems. It will also provide a framework to assess risks to local and global economies and to transfer knowledge that will lead to adaptation strategies across Arctic regions. PerCS-Net will promote synergy across networks to foster the next generation of students, postdoctoral scholars, and early-career researchers charged with identifying potential solutions to changes occurring in the Arctic system. <br/><br/>There is no place more representative of the challenges faced at the intersection of natural, social, and built systems than the Arctic. PerCS-Net will develop a transdisciplinary umbrella network to synergize existing datasets, expand observations in space and time, integrate in-situ sensing techniques, coordinate goals among networks, and engage in synthesis efforts. The new knowledge will inform intergovernmental agencies as well as international research and outreach programs to make science-based decisions and policies in adapting to permafrost coastal system dynamics. Network activities include annual in-person meetings at national and international venues, monthly webinar meetings, outreach in Arctic coastal communities, synthesis publications, and student and early-career researcher personnel exchanges. Expected outcomes of PerCS-Net will integrate into a framework for transformative knowledge sharing from individuals and organizations cooperating across political, cultural, and disciplinary borders to address critical science, engineering, and social issues in response to permafrost coastal systems in the changing Arctic. <br/><br/>The Accelerating Research through International Network-to-Network Collaborations (AccelNet) program is designed to accelerate the process of scientific discovery and prepare the next generation of U.S. researchers for multiteam international collaborations.  The AccelNet program supports strategic linkages among U.S. research networks and complementary networks abroad that will leverage research and educational resources to tackle grand scientific challenges that require significant coordinated international efforts. This project was co-funded by the Arctic System Science Program in the Office of Polar Programs.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"notEPSCoR"
1927167,"069Y00","AccelNet","Implementation","OISE","O/D","Standard Grant","10/01/2019","05/16/2023","09/30/2025",1161879,"Paul McPhearson","Elizabeth Cook","The New School","66 W 12TH ST","NEW YORK","NY",10011,"Accel-Net: Nature-Based Solutions for Urban Resilience in the Anthropocene NATURA","1927468 (Grimm) 1927167 (McPhearson). Cities and urbanized regions worldwide are exposed to extreme weather events and rising seas. They are at risk because their infrastructure often is in disrepair, no longer appropriate for more intense or frequent extreme events, or unable to keep up with rapid urban population growth. Traditional engineered infrastructure, such as stormwater drainage systems or sea walls, is usually designed for only one purpose and seldom can adapt to changing conditions. Solutions that are based on nature-preserving protective ecosystems, incorporating ecological elements or even mimicking nature in built infrastructure, offer flexibility in the face of changing conditions and provide multiple benefits to society, often at relatively low cost. The NATure-based solutions to Urban Resilience in the Anthropocene (NATURA) project links 26 networks to enhance connectivity among the world's scholars and practitioners and improve the prospects for global urban sustainability.  NATURA exchanges knowledge, shares data, and enhances communication among research disciplines and across the research-practice divide to advance understanding of how to prepare for the growing threat of extreme weather events. As an important part of this knowledge sharing, learning exchanges will build capacity of the next generation of researchers and practitioners to work together on applications of nature-based solutions in a wide range of social, ecological, and technological contexts.<br/><br/>The NATURA international network of networks brings together research scientists (ecologists, engineers, and social scientists) and city practitioners (such as officials from city, county, or state governments, members of non-governmental organizations, and community leaders) who work on devising and implementing solutions to the challenge of extreme events. NATURA will unite 21 networks focused in Europe, South Africa, China, North and South America, and globally with 5 U.S.-based networks that are conducting research and implementing nature-based solutions. NATURA will advance theory and research on nature-based solutions, identifying and filling research gaps across diverse global social-biophysical contexts to understand where nature-based solutions are unique or can be more generally applied to meet urban resilience challenges. Through all-hands meetings, thematic working groups, regional nodes, and synthesis writing workshops, the project will accomplish the goals of synthesis and data sharing, and network coordination. Early-career researchers and practitioners will be sponsored by NATURA to pay five-week visits to network partners. Further, NATURA will train postdoctoral scholars and graduate students through learning exchanges to networks around the globe. Through collaboration with partners, international students will be invited to participate in these exchanges, hosted by US networks.  <br/><br/>The Accelerating Research through International Network-to-Network Collaborations (AccelNet) program is designed to accelerate the process of scientific discovery and prepare the next generation of U.S. researchers for multiteam international collaborations.  The AccelNet program supports strategic linkages among U.S. research networks and complementary networks abroad that will leverage research and educational resources to tackle grand scientific challenges that require significant coordinated international efforts. This project was co-funded by the Division of Environmental Biology (BIO/DEB).<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",2300,188696,"Joffrey Ballet School","434 Ave of the Americas","New York","NY","36","36061","New York County","11",40.734545,-73.998566,"35620","New York-Newark-Jersey City, NY-NJ-PA",1,"408","New York-Newark, NY-NJ-CT-PA","3610","36066","36027","2022-2023",-73.9985659999209,40.7345450000518,"notEPSCoR"
